Height,Weight,BMI
1.77,75,23.93948099
1.8,70,21.60493827
1.65,55,20.2020202
1.68,68,24.09297052
1.52,52,22.50692521
1.57,48,19.47340663
1.7,50,17.30103806
1.85,92,26.88093499
1.75,75,24.48979592
1.72,56,18.92915089
1.78,80,25.2493372
1.65,54,19.83471074
1.72,56,18.92915089
1.68,50,17.7154195
1.68,48,17.00680272
1.68,60,21.2585034
1.6,67,26.171875
1.9,84,23.26869806
1.78,63,19.88385305
1.75,65,21.2244898
1.8,60,18.51851852
1.75,55,17.95918367
1.72,56,18.92915089
1.72,56,18.92915089
1.72,48,16.22498648
1.56,48,19.72386588
1.69,42,14.70536746
